Post URL,Username,Post Text,Post Date,Post Time (HH:MM),Likes,Replies,Reposts,Shares,Verified User,Accessed Date,Accessed Time,Code,label,Post Time,Post Hour,Text Length
https://www.threads.net/@_md_sahed_hossain/post/C9WQ9dsyy6t?xmt=AQGzt6xqvkxkXWH18S_HshNay6T_0dx2K2cRIrNAyAWZbg,_md_sahed_hossain,"Breaking 
Love poet Sushant Pal has been the first to leaked the question  Abed Alis question is the name of Sushant Pal in the list of 5 of the supply",7/13/2024,3:32,1,0,0,0,FALSE,12/11/2024,1:04,C9WQ9dsyy6t,1,3:32:00,3,165
https://www.threads.net/@trinnitiemimihyovalti/post/DCqCSeguBG7,trinnitiemimihyovalti,Meanwhile in a land where unicorns dwell Libtardville,11/22/2024,2:25,710,44,18,14,FALSE,12/7/2024,0:27,DCqCSeguBG7,0,2:25:00,2,55
https://www.threads.net/@shuropriya_shur/post/C9WvbqIPKd9?xmt=AQGzt6xqvkxkXWH18S_HshNay6T_0dx2K2cRIrNAyAWZbg,shuropriya_shur,"Sushant Pal has been the first to leaked the question  Abed Alis question is the name of Sushant Pal in the number 5 of the 5 list of supply
Source Kalbella
The reason for the last post of Badda is now understoodThe lock of the face is the",7/13/2024,7:58,3,1,0,0,FALSE,2/9/2025,22:02,C9WvbqIPKd9,1,7:58:00,7,248
,,Make California Great AgainElon Musk said he might run for governor of CaliforniaElon Musk said he might run for governor of California Elon Musk said he might run for governor of California Elon Musk said he might run for governor of CaliforniaElon Musk said he might run for governor of CaliforniaMake California Great AgainMake California Great Again Elon Musk run for governor..? Musk. :::::::Elon,,,,,,,,,,,1,,,
https://www.threads.net/@kellabeck/post/DCjakdxuh0b,acorkforkandpassport,How can women respect  knowtheirvalue when Mika is too busy kissing Mango MussoliniAAs ,11/19/2024,4:13,1000,33,69,1,TRUE,12/7/2024,2:26,DCjakdxuh0b,0,4:13:00,4,98
https://www.threads.net/@syeedthedoyenne/post/DC5FfBdS5TM,syeedthedoyenne,The second one for todayYall really got me confused with somebody else,11/27/2024,22:42,305,80,8,0,TRUE,12/7/2024,3:14,DC5FfBdS5TM,0,22:42:00,22,73
,,... We must end Donald Trump once and for all. We must end Donald Trump once and for all. We must end Donald Trump. We must end Donald Trump once and for all. We must end him.. End Donald Trump once and for all. End him. End him. End him. End him. End him. End Donald Trump once and for all. End.........:::s:,,,,,,,,,,,1,,,
https://www.threads.net/@9thleveltribe/post/DCPwdI5oauE,9thleveltribe,"DENZEL IS A FING ROCKSTAR
Give that man his flowersAAAA denzelwashington GladiatorII og rockstar",11/11/2024,21:30,2700,47,38,27,TRUE,12/7/2024,2:52,DCPwdI5oauE,0,21:30:00,21,106
,,the public department and various corporations employees government in the master roll department. The notification has been issued for the employment work of all employees of the government private autonomous semi autonomous autonomous statutory establishment and various corporation employees working in the master roll. All employees of the government private autonomous semi autonomous. Government has issued.. : news post::.: and............ The notification,,,,,,,,,,,1,,,
,,'s Day Celebration.'s Day Celebration. Registration for the St Martin's Day celebration. Registration online to go to St Martin's Day Celebration.'s Day Celebration. Registration online to go to's Day Celebration. Registration online to go to's Day Celebration. Registration online to go to's Day Celebration. Day Celebration.:::::::::::.. College event,,,,,,,,,,,1,,,
https://www.threads.net/@ji_predicciones/post/DCdBpF_NaAp,ji_predicciones,Eurodiputada alemana Christine Anderson Si un hombre cree que es una mujer eso est  bien no tengo ning on problema con eso Tiene derecho a pensar lo que quiera pero no tiene derecho a obligarme a compartir su delirio,11/17/2024,1:10,602,21,32,22,FALSE,12/7/2024,6:38,DCdBpF_NaAp,0,1:10:00,1,225
,,Vances... She is a US citizen by birth. Both of her parents were born in the US. BREAKING: Former Vice President JD Vances wife will have her citizenship revoked if Trump signs an executive order banning birthright citizenship.. Change news post & & her birthright citizenship.: & to: &.. ; .,,,,,,,,,,,1,,,
https://www.threads.net/@_rain.b0w_/post/DCajPVRtXVk,_rain.b0w_,Where is the guillotine list and can it be shared with the class,11/16/2024,2:05,0,0,0,0,TRUE,12/7/2024,3:40,DCajPVRtXVk,0,2:05:00,2,65
,,PILOT She spent the last two years in the White House instead of flying? Why? Why? Why not? She was the President's Black Hawk pilot. Black Hawk Pilot.? PILOT NOW NOT Then and news post The following news post  :::::?:: DANGER? PILOT He is the leader? is,,,,,,,,,,,1,,,
https://www.threads.net/@katykfla/post/DATOb1Hti9s,katykfla,I think weAAAre about to witness the fall of rap music as we know it,9/24/2024,12:46,0,0,0,0,FALSE,12/7/2024,0:42,DATOb1Hti9s,0,12:46:00,12,72
https://www.threads.net/@lumel1962/post/DCv73rNK1dz,lumel1962,AAAAAAAA2,11/24/2024,9:25,10,1,5,19,FALSE,12/6/2024,23:06,DCv73rNK1dz,0,9:25:00,9,16
https://www.threads.net/@detox.nurse/post/DChzUCvSYLf,detox.nurse,"Dear Algorithm 
Connect me with people that areAAAAAAPRO LIFE
AAAAAAPRO GN
AAAAAAPRO MEDICAL FREEDOM
AAAAAAUNVACCINATED 
AAAAAAANTI CLIMATE CHANGEAAAAAA ANDAAA wants to Make America Great Again AAAAoAAAA MAGA",11/18/2024,21:40,1500,98,25,2,TRUE,12/7/2024,3:33,DChzUCvSYLf,0,21:40:00,21,269
